ID,Category,Feature
16852973,HR,hr administrator marketing associate hr administrator summary dedicated customer service manager years experience hospitality customer service management respected builder leader customer focused teams strives instill shared enthusiastic commitment customer service highlights focused customer satisfaction team management marketing savvy conflict resolution techniques training development skilled multi tasker client relations specialist accomplishments missouri dot supervisor training certification certified ihg customer loyalty marketing segment hilton general manager training certification accomplished trainer cross server hospitality systems hilton onq micros opera pms fidelio opera reservation system ors holidex completed courses seminars customer service sales strategies inventory control loss prevention safety time management leadership performance assessment experience hr administrator marketing associate hr administrator dec current company name city state helps develop policies directs coordinates activities employment compensation labor relations benefits training employee services prepares employee separation notices related documentation keeps records benefits plans participation insurance pension plan personnel transactions hires promotions transfers performance reviews terminations employee statistics government reporting advises management appropriate resolution employee relations issues administers benefits programs life health dental insurance pension plans vacation sick leave leave absence employee assistance marketing associate designed created marketing collateral sales meetings trade shows company executives managed house advertising program consisting print media collateral pieces assisted complete design launch company website months created official company page facebook facilitate interaction customers analyzed ratings programming features competitors evaluate effectiveness marketing strategies advanced medical claims analyst mar dec company name city state reviewed medical bills accuracy treatments tests hospital stays prior sanctioning claims trained interpret codes icd cpt terminology commonly used medical billing fully understand paperwork submitted healthcare providers required organizational analytical skills well computer skills knowledge medical terminology procedures statistics billing standards data analysis laws regarding medical billing assistant general manager jun dec company name city state performed duties including limited budgeting financial management accounting human resources payroll purchasing established maintained close working relationships departments hotel ensure maximum operation productivity morale guest service handled daily operations reported directly corporate office hired trained staff overall objectives goals emphasis high customer service marketing advertising working public relations media government local businesses chamber commerce executive support marketing assistant jul jun company name city state provided assistance various department heads executive marketing customer service human resources managed front end operations ensure friendly efficient transactions ensured swift resolution customer issues preserve customer loyalty complying company policies exemplified second none customer service delivery interactions customers potential clients reservation front office manager jun jul company name city state owner partner dec may company name city state price integrity coordinator aug dec company name city state education n business administration jefferson college city state business administration marketing advertising high school diploma college prep studies sainte genevieve senior high city state awarded american shrubel leadership scholarship jefferson college skills accounting ads advertising analytical skills benefits billing budgeting clients customer service data analysis delivery documentation employee relations financial management government relations human resources insurance labor relations marketing marketing collateral medical billing medical terminology office organizational payroll performance reviews personnel policies posters presentations public relations purchasing reporting statistics website
22323967,HR,hr specialist hr operations summary media professional background communications marketing human resources technology experience current hr specialist hr operations company name city state managed communication regarding launch operations group policy changes system outages designed standard work job aids create comprehensive training program new employees contractors audited job postings old pending hold draft positions audited union hourly union hourly salary background checks drug screens conducted monthly new hire benefits briefing new employees business units served link hr managers vendors handling questions resolving system related issues provide real time process improvement feedback key metrics initiatives successfully branded hr operations sharepoint site business unit project manager rfi rfp check drug screen vendor marketing communications co op company name city state posted new articles changes updates corporate sharepoint site including graphics visual communications researched drafted articles feature stories promote company activities programs co edited developed content quarterly published newsletter provided communication support internal external events collaborated communication team media professionals vendors determine program needs print materials web design digital communications entrusted lead product service software launches digital asset management tool marketing toolkit website executive tradeshows calendar created presentations management executive approval ensure alignment corporate guidelines branding maintained mysikorsky sharepoint site provided timely solutions mitigate issues created story board produced video annual hands meeting relationship coordinator marketing specialist company name city state partnered vendor manage house advertising program consisting print media collateral pieces coordinated pre show post show activities trade shows managed marketing campaigns generate new business support partner sales teams ordered marketing collateral meetings trade shows advisors improved administered modified marketing programs increase product awareness assisted preparing internal promotional publications managed marketing material inventory supervised distribution publications ensure high quality product output coordinated marketing materials including brochures promotional materials products partnered graphic designers develop appropriate materials branding brochures used tracking reporting systems sales leads appointments assistant head teller company name city state received internal audit score performed daily monthly audits atm machines tellers educated customers variety retail products available credit options consistently met exceeded quarterly sales goals promoted products services customers maintaining company brand identity implemented programs achieve exceed customer company participation goals organized company sponsored events campus resulting increased brand awareness coached peers proper use programs improve work flow efficiency utilized product knowledge successfully sell refer clients based individual needs promoted marketing grand opening new branch locations strengthen company brand affinity organized company sponsored events resulting increased brand awareness improved sales coached peers proper use programs increase work flow efficiency senior producer shu media exchange company name city state planned executed event focusing connecticut creative corridor growth industry opportunities come development panel industry professionals addressed topics related media hosted question answer session approximately attendees following forum guests invited engage networking conversation post event reception education master arts corporate communication public relations sacred heart university city state bachelor arts relational communication western connecticut state university city state skills adobe photoshop adp asset management branding brochures content customer care final cut pro graphics graphic hr illustrator indesign innovation inventory lotus notes marketing marketing materials marketing material materials microsoft office sharepoint newsletter presentations process improvement project management promotional materials publications quality real time recruitment reporting rfp sales stories employee development video web design website articles
33176873,HR,hr director summary years experience recruiting plus years human resources executive management years hris development maintenance years working healthcare enviroment skills recruiting fmla eeo flsa hris development benefit administration policy development web page development accomplishments kansas health institute health outcomes state kansas memberships accolades project management institute member shrm chamber commerce friends university president honor roll friends university dean honor roll student liaison friends university topeka member mother mother member topeka advertising federation several production pieces created nominated addy awards received recognition outstanding customer service assistance state kansas travel tourism department ashhra kahhr acm additional information leading change instrumental development implementation adjutant general retention research project involving survey development analyzing results surveys present adjutant general help retain qualified talent departments tasked working federal security manager joint forces headquarters developing policies procedures processes ensure current new state employees appropriate security clearances position held federal government requirements lmis lead job vacancy project able produce results less time man hours years staff inexperienced jvc process procedures responsible develop plan implement database programs last three positions held designed cultivate involve renew contact promote active potential employees databases used reporting fte usage budget management turnover reports working healthcare field took initiative creating local website used receive respond requests information assistance marketing promoting healthcare facility recruitment potential employees human resource coordinator healthcare field managed front office personnel reduced contract labor costs nursing staff implemented unique pay structure increase prn staff utilization continually think box create develop strategies resolve issues faced work environment current position met exceeded hiring goals firm resulted client increasing business transferred location experience hr director current company name city state developed new website agency payroll processing changes implementation new hris system oversaw employment process taking lead role clinician physician management team recruitment initiatives developed maintain interpret hr policy authored employee handbook provided coaching support management supervisors performance management related issues maintained depth knowledge legal requirements related day day management employees reducing legal risks ensuring regulatory compliance evaluated recommend changes employee benefits plan oversaw day day administration benefits hr director company name city state develped supervisory education shro website shro hris system automation payroll processing established directed comprehensive statewide human resource program classified unclassified state employees positions adjutant general department resolved non routine hr related issues associated arose reviewed documents approved hires promotions reviews approved modified disapproved wage salary requests hire individuals pre established minimum classified unclassified pay rate reviewed significant changes position descriptions determined reclassification pursued reviewed position descriptions new positions determined appropriate wage range based comparable classified position exist consulted tag military state manager supervisors order provide technical common sense guidance properly addressing sensitive complex employee organizational issues aided achieving ever changing program goals provided innovative ideas staffing served administration management representative labor negotiations local kape unit th fire department hr manager sr recruiter company name city statecreated hris tracking system used recruitment responsible ramp hiring customer service agents positions needed placement development advertising met exceeded hiring goals responsible hiring senior management cover duties team managers payroll quality control responsible recruitment new employees meeting exceeded goals set coordinated facilitated manpower planning recruitment retention career development training staff relations compensation benefits compliance local state federal statutory regulations public programs regulatory audit procedures served resource person administration mid level management staff regarding hr related human resources coordinator company name city state developed hris database ground employee records monitoring instrumental reducing use agency staffing needs hospital coordinated facilitates manpower planning recruitment retention career development training staff relations compensation benefits compliance local state federal statutory regulations public programs regulatory audit procedures served hr resource source administration mid level management staff coordinated hiring procedures appraisals pay increases promotions transfers terminations job postings corrective actions one person office responsible osha work comp benefits payroll etc education training master degree information management systems friends university city state united states credits earned semester hours information management systems bachelor science organizational management friends university city state united states credits earned semester hours activities honors topeka chamber commerce ambassador kansas hospital association health care human resources member shrm legislative liaison skills desktop publishing newsletter productions database management leadership training osha fmla workers compensation pagemaker agency automation back benefits budget management corel suite harvard graphics access excel microsoft publisher ms word quark express quattro pro strategic planning web page development wordperfect
27018550,HR,hr specialist summary dedicated driven dynamic years customer service expertise motivated maintain customer satisfaction contribute company success emphasis personnel process management solid team player proven ability establish rapport clients skills type wpm key touch microsoft programs word excel access outlook powerpoint personnel management telephone inquiries specialist excellent customer service skills call quality customer satisfaction primary focus inbound contact center experience excellent oral written presentation seasoned conflict resolution experience hr specialist may oct company name city state accenture peopleline email management team received inbound emails clients initial point contact questions related hr policies practices resolve issues helped client answering inquiry resolving issue routing email caseworker resolution recorded tracked client issue case management tool initiation resolution maintained records customer interactions transactions documenting details inquiries complaints comments well actions taken customer service representative mar feb company name city state maintained records customer interactions transactions documenting details inquiries complaints comments well actions taken developed implemented filing delivery methods fmla short term disability documentation respective global clientele facilitated communication absence management team clients internal departmental teams organized maintained payroll people services database management system communicated clients internal external departmental teams mitigated risks resolutions regarding policy transactions queries call centre shift supervisor mar company name city state answered dispatched calls medical professional clients san antonio surrounding areas provided call monitoring ensure staff adhering quality call control maintained call books various medical staff ensure correct staff contacted hours weekends education training certificate completion business administration texas extension services city state skills key touch type wpm filing access microsoft excel microsoft outlook microsoft powerpoint microsoft word
17812897,HR,hr manager skill highlights hr skills hr department startup three new organization startups employment law fmla ada eeo wc mediation advocacy hr policies procedures staff recruitment retention salary negotiations employee relations benefits administration unemployment administration worker compensation administration orientation boarding hris technologies training development performance management organizational development hr program project management hris applications lawson paychex kronos adp ms office word excel powerpoint publisher access outlook professional experience hr manager jan current company name city state manage human resource function e cycle corporate office well fulfillment data center consisting benefits compensation administration payroll employee relations policy compliance recruitment key results foster associate oriented culture emphasizes continuous improvement team work high performance quality ensure organizational conformation applicable hr related regulations statutes well organizational procedures policies implement hr programs policies needed organization identify evaluate resolve human relations employee morale work performance organizational productivity concerns develop staffing strategies implement programs plans identify cultivate effective appropriate sources employees job levels create assist creation associate training organizational development programs develop manage annual associate review process insure regional staff included corporate activities feel part team responsible human resource management system provide staff management essential reporting information order help managing associate resources recruit retain top quality associates department includes recruiting nationally cases executive level create assist creation compensation plans employee benefit administration consisting health dental vision vstd vltd k successful reducing health benefit expected increase first month organization sr hr manager jan jan company name city state leader hr operations team instrumental partnering local leadership corporate hr develop implement hr policies processes technology services aligned support company strategic initiatives order successful start key results coordinated efforts recruit hire full time hourly associates management level employees converting agency staff full time instrumental managing creating set hr business office included development personnel files new hire practices payroll hr reporting manage providing direction development hr develop hr delivery business continued grow strategic business partner site director well operations leaders support start operations day day operations peak season planning staffing operations worked successfully local temporary agencies order staff peak volume consisted total associates delivering million units black friday christmas influence hr strategy execute tactical direction facility overall hr strategy ensure internal consistency hr policies procedures multiple locations interact corporate hr team exempt staffing compensation benefits functional groups order support operations maintain knowledge hr policies procedures laws regulations industry trends developments ensure accurate information communicated company develop work environment demonstrates fanatics core values provide strategic direction leadership development workforce planning initiatives fulfillment center coach senior business leaders front line supervisors hr polices procedures best practices dealing employee relation issues poor performance attendance behavior conduct issues championed fun friendly approachable hr team professionals ensure integrity maintenance confidentiality personnel records accordance policies procedures applicable federal state laws improve hr service delivery line overall business performance expectations look ways innovate systems hr delivery people process technology manage hr function measurable objectives communicate bottom line impact hr delivery business hr director jan jan company name city state member executive team directly solely responsible providing situation appropriate policy compliant human resource support separate business units community based non profit health care organization approximately employees key results played key role ensuring successful merge five separate private physician practices one non profit organization structured implemented programs policies areas compensation structures benefits packages incentive compensation plans physician employment contracts fostered teamwork open door environment conducive positive dialogue organization overall employee satisfaction rating responsible maintaining staffing levels positions health center consisted full time part time call staff negotiated salary offers exempt nonexempt level successful recruitment physicians ceo coo cfo cmo various managers wrote employee manual covering issues including disciplinary procedures code conduct fmla attendance policies benefits information implemented employee satisfaction surveys presented results board directors introduced company first formal performance review program developed job descriptions levels categories shadowed interviewed employees construct accurate picture duties skills required position hr representative jan jan company name city state nation largest small box discount retailer fulfilled broad range hr generalist functions including recruiting administering benefits overseeing disciplinary action managing hr support staff key results trained management team interviewing techniques best practices conducted one one coaching sessions contributed sound hiring decisions instrumental start new million sq ft state art distribution center hiring plus employees first year consisted part time full time temporary staff overseen morale boosting programs including special events annual employee picnic attendance safety banquets etc increased employee satisfaction productivity investigated employee relation issues sexual harassment discrimination inappropriate conduct either hourly employees management staff responsible staffing hourly positions consisted maintaining hourly employees three shifts education bachelor business administration mount vernon nazarene university city state professional affiliations society human resource management shrm muskingum valley human resource management association skills ada adp art agency benefits benefits administration coach coaching conflict resolution continuous improvement contracts decision making delivery direction employee relations special events financial functional hiring hris human resource management human resource human resources hr human relations kronos lawson leadership leadership development law legal compliance director managing management reporting mediation access excel ms office office outlook powerpoint publisher win word negotiating negotiations organizational development organizational payroll peak performance management personnel policies problem solving processes profit implement programs project management quality quantitative analysis recruitment recruiting reporting safety sound staff development staffing strategy strategic structured surveys team work teamwork visio vision workshops
11592605,HR,hr generalist summary dedicated focused administrative assistant excels prioritizing completing multiple tasks simultaneously following achieve project goals seeking role increased responsibility authority highlights microsoft office proficiency excel spreadsheets meticulous attention detail results oriented directed time management professional mature self starter legal administrative support experience hr generalist company name city state managed visa related employment processes non immigrant faculty staff improved productivity enhanced visa related services improved operational structure developing guidelines tools internal external administration non immigrant employment procedures reduced internal employment authorization processing times approximately percent prepared reviewed submitted petitions uscis adjudication maintained electronic database petitions filed served university point contact uscis developed presented university guidelines adhere mandates presented uscis usdhs usdos presented monthly orientation created edited internally distributed bi annual newsletter maintained hr website coordinator company name city state provided advice faculty staff scholars students interpreting complex regulatory guidelines thoroughly prepared filed non immigrant petitions uscis non immigrant students employees maintained highly confidential sensitive data identified designated school official non immigrant student programs alternate responsible officer overseeing j exchange visitor program j employees assisted foreign nationals obtaining h b visa status employment u coordinated bi annual student orientation created training programs supervised trained volunteers supervised administrative assistant student employees managed coordinated student activities coordinator international student advisor secretary company name city state drafted meeting agendas supplied advance materials executed follow meetings team conferences managed receptionist area including greeting visitors responding telephone person requests information designed electronic file systems maintained electronic paper files handled media public relations inquiries planned meetings prepared conference rooms wrote reports correspondence dictation handwritten notes dispersed incoming mail correct recipients office made copies sent faxes handled incoming outgoing correspondence created powerpoint presentations used business development organized files developed spreadsheets faxed reports scanned documents managed daily office operations maintenance equipment education aba approved paralegal program certification ba justice studies montclair state university city state justice studies psychology essex county college city state psychology certificate shrm essentials human resource management program highlights performance management critical analysis recruitment selection strategic planning effective human resources management establishing competencies new york institute technology city publications identified department state alternate responsible officer exchange visitor programs recognized united states citizenship immigration services designated school official conference presenter national association foreign student advisors nafsa appointed acting assistant director coordinator international students brings calm attention detail approach places customer number one focus activity service style works benefits annual performance evaluation overall performance level outstanding lisa quality employee often works contractual hours complete task office could operate current modus operandi efforts annual performance evaluation merit proposal thank steadfast style contributions make office truly valued annual performance evaluation notification overall performance level commendable outstanding calm humorous personable model patience annual performance evaluation overall performance level outstanding skills administrative administrative assistant bi conferences database special events filing human resource management hr human resources management excel exchange microsoft office office outlook powerpoint word newsletter paralegal performance management processes publications recruitment strategic planning supervisor training programs travel arrangements visio website workshops annual reports
25824789,HR,hr manager summary human resources manager extensive background administrative duties including experience implementing staff development training mediation conflict resolution benefits compensation training hr records management hr policies development legal compliance demonstrated success developing teambuilding programs writing personnel manuals coordinating special programs job descriptions online state mandated training highlights university events special programs prepare agendas fmla ada eeo wc mediation advocacy hris technologies tesol teacher university staff employee relations web design using reddot sharepoint hr program project management microsoft office suites orientation boarding training development performance management organizational development hr policies procedures publisher indesign quark accomplishments enjoy k runs walks note professional development complete ongoing training areas compensation benefits employee labor relations leaves absence customer service supervisory training workplace safety security created publications advertisements twu thehra conferences invited guest speaker staff development days twu houston campus several affiliated conferences developed online state mandated training twu employees experience hr manager current company name city state perform professional administrative work involving development administration coordination comprehensive series training development opportunities university staff faculty work performed considerable independent judgment wide latitude limited supervision director human resources professional services key results perform professional administrative work involving development administration coordination comprehensive series training development opportunities university staff faculty implementation tesol program teaching english speakers languages conduct exit interviews staff employees develops procedures resolving problems discovered exit interviews responsible implementation maintenance training staff performance evaluation system coordinate service awards staff awards retirement recognition programs responsible coordination new employee orientation maintain calendar plan scheduling special events training schedules new employee orientation schedules web spinner human resources newsletters using reddot sharepoint responsible establishing job standards subordinate staff effectively evaluation staff charge manage prioritize additional tasks assigned associate vice president hr representative iii company name city state promoted fulfill broad range hr functions including training employees newly implemented peoplesoft time labor module administering fmla program managing hr records key results trained time keepers time keeping techniques best practices conducting workshops one one coaching sessions contributed successful implementation peoplesoft leadership development training faculty staff translated facilitated training spanish designed refined course material needs specific departments assisted coordination special programs events restaurant manager trainer company name city state responsible overall business performance managing restaurant training new employees key results encouraged guest satisfaction special events responsible hiring training wait staff bar staff kitchen staff translated facilitated training spanish designed refined training material needs specific areas assisted maintaining quality standard food health service safety education bachelor science bs sociology texas woman university city state sociology affiliations society human resource management shrm north texas society human resource management ntshrm texas higher education human resources association international tefl tesol training membership ittt denton high school girls softball association skills ada administrative skills administrative coaching employee relations training employees english special events hiring hris human resources hr indesign leadership development director managing mediation microsoft office suites publisher sharepoint newsletters organizational development peoplesoft performance management policies project management quality quark managing restaurant safety scheduling spanish supervision teacher teaching training material web design workshops
15375009,HR,hr manager professional summary senior hr professional continuous improvement approach building supporting organizations driven hr manager bringing innovative approach human resource management creating team driven environment fosters room development growth dedicated hr professional strong grasp employment laws compliance issues benefits plans successfully introduces process improvements staff development initiatives drive corporate goal attainment creative business partner dedicated developing unique employee orientation training programs generate loyal knowledgeable staff skills administrative adp backup benefits bookkeeping clarify competitive customer service database delivery documentation employee relations filing government hr human resources human resource insurance job analysis labor relations law enforcement team building letters market meetings mail office payroll processing payroll personnel policies processes project management proposal quality recruiting recruitment safety strategy employee handbooks vendor management vendor management vision year end work history hr manager current company name city state developed evolved department mission workflows structure continuously developing improving processes ever changing environment implemented company first sourcing tracking system built comprehensive employee recruiting strategy allowing fill positions period months cut cost hire reduced average days fill positions achieved department goal reducing turnover placed new benefits broker coordinated implementation new benefit programs ensuring current competitive educated advised employees group health plans voluntary benefits k retirement plans managed aspects leave administration including employee notifications vendor management disability programs health benefits developed new process employee evaluation resulted marked performance improvements handled understaffing disputes terminating employees administering disciplinary procedures resolved employment related disputes proactive communication offered fair equitable compensation comparing current salaries market pay audited workplace employee management policies procedures developed enforced company policy procedures relating phases human resources activity sr hr generalist company name city state acted liaison maintained open lines communication directors middle management front line employees developed company personnel policies standard operating procedures employee handbooks established monitored employee pay scales audited workplace employee management policies procedures educated advised employees group health plans voluntary benefits k retirement plans built comprehensive employee recruiting strategy managed employee rewards programs conducted job analysis job evaluations resulting quality job specifications developed innovative new employee orientation programs including safety training shadowed employees determine accurate description duties skills required position developed enforced company policy procedures relating phases human resources activity managed aspects leave administration including employee notifications vendor management disability programs health benefits benefits administrator company name city state closely partnering brokers minimize year year cost increases medical dental vision health plans organized district wide benefits fair provided hands customer service district employees retirees educated advised employees group health plans voluntary benefits retirement plans human resources supervisor company name city state led comprehensive safety training staff members handled understaffing disputes terminating employees administering disciplinary procedures resolved employment related disputes proactive communication coordinated work activities subordinates staff relating employment compensation labor relations employee relations developed company personnel policies standard operating procedures employee handbooks developed facilitated new hire orientations audited workplace employee management policies procedures educated advised employees group health plans voluntary benefits k retirement plans built comprehensive employee recruiting strategy developed innovative new employee orientation programs including safety training acted liaison employees insurance carriers resolve problems clarify benefits human resources generalist administrative assistant company name city state conducted background checks candidates obtaining information law enforcement officials previous employers references evaluated timecards accuracy regular overtime hours updated presentation documents compensation committee review captured key feedback employees exit interviews supported human resources staff new hire orientations monthly departmental meetings implemented tracking database employee professional development licensure renewal credits coordinated employment offers management extended offers selected candidates researched payroll cobra disability fmla issues reviewed human resource paperwork accuracy completeness verifying collecting correcting additional data managed aspects leave administration including employee notifications vendor management disability programs health benefits developed company personnel policies standard operating procedures employee handbooks conducted employment verifications investigations built comprehensive employee recruiting strategy shadowed employees determine accurate description duties skills required position developed enforced company policy procedures relating phases human resources activity acted liaison employees insurance carriers resolve problems clarify benefits processed unemployment claims acted company representative unemployment hearings human resources assistant company name city state performed various administrative functions including filing paperwork delivering mail sorting mail office cleaning bookkeeping managed employee exit interviews paperwork provided backup payroll needed recruited screened qualified potential employees developed facilitated new hire orientations conducted employment verifications investigations facilitated criminal background check process new hires conducted background checks candidates obtaining information law enforcement officials previous employers references supported human resources staff new hire orientations monthly departmental meetings implemented tracking database employee professional development licensure renewal credits entered personnel subcontractor data central database coordinated conducted new hire pre interviews assisted management staff annual year end processes data audits accurately prepared government compliance reports proposal requests employee data addressed resolved general payroll related inquires sent notices employees subcontractors regarding expiring documentation reviewed human resource paperwork accuracy completeness verifying collecting correcting additional data completed employee employment verifications unemployment paperwork timely manner reviewed corrected job offer letters completeness accuracy approving delivery education bachelor science business management university phoenix san jose learning center city state business management mba university phoenix city state mba human resources notre dame namur university city state human resources
11847784,HR,hr specialist summary possess years experience hr classification compensation lead hr specialist recruitment managed recruitment efforts included qualifying candidates based documented knowledge skills abilities match organizational resource needs ensured candidate fulfillment preemployment process e checks drug screens reference checks developed implemented competency skill based pay programs variety occupations including medical nurses mechanical machine operators civil engineers led statewide review jobs employees determining appropriate flsa designations e g executive administrative computer related creative provided executive middle management consultation acquiring class levels roles necessary accomplish departmental goals objectives resulted mission successes training development eight years experience training development included development delivery leadership management supervisory skills acquisition additionally developed policy procedural training including performance management interaction management ada prevention workplace violence sexual harassment skills management consultation negotiation outlook e recruitment hr policies procedures provision excellent customer service micro soft applications word excel powerpoint skills problem solve serve change agent ensure hr functions included organizational missions negotiate budget revisions include hr initiatives ensure excellent customer service delivery provide state federal soft skills management employee training conduct job analyses well conduct compensation job market analysis deliver measure leadership training develop implement monitor performance management develop implement monitor personnel policies procedures manage full cycle recruitment experience hr specialist company name city state managed full cycle recruitment efforts multi state needs ensured candidate job qualifications matched minimum ksas completed pre employment processes checks drug screens reference checks conducted boarding orientation conducted initial phone screens recommended applicants site interviews contacted candidates salary hourly wage offers negotiated start dates hr analyst company name city state conducted analysis roles positions month period recommended developed implemented new classification level based evolution roles security radiation classes conducted labor market studies recommended implemented monitored compensation practices recruitment reviewed approved referred candidates management selection based documented ksas required education experience requirements budget daily contact budget manager ensure request additional salary needs included budgetary revisions legislative special requests salary administration reviewed justified approved management requests salary adjustments based expanded variety scope responsibilities determined appropriate percentage increase status temp perm manager classification compensation company name city state reduced established timeframe individual job analysis average four months calendar days established requirement template project management communication plans prioritized assigned classification compensation studies reviews established coordinated recruitment referrals cabinet council state members conducted statewide flsa evaluations resulted appropriate designations ensured legal justified salary administration practices manager recruitment classification compensation company name city state reduced backlog management requested classification compensation studies individual job reviews w four month period supervised recruitment efforts occupational needs hospital well versed neogov e recruitment reviewed management requests occupational individual position studies upgrades reallocations downgrades salaryadjustments competency skill based pay programs nurses mechanical trades institutional services personnel senior hr analyst company name city state oversight hr classification compensation activities field hr managers analysts project manager variety occupational competency skill based pay programs managed statewide competency based pay program nurses qualified applicants jobs reviewed approved requests salary exceptions career progressions range salary adjustments led statewide flsa designation analysis employees processed reduction force activities developed delivered training department wide employees regarding variety regulations laws rules policies procedures ensured field hr managers fulfilled performance management initiatives senior hr analyst company name city state facilitated development statewide policies procedures competency skill based pay programs partnered managers agency leaders create cbps technical soft skills managed statewide skill based pay program machine operators training development specialist company name city state assessed educational training needs developed delivered evaluated leadership technical administrative state federal mandated employee training based astd principles served team lead development delivery statewide initiatives performance based pay performance evaluations major contributor research development internal ethical practice trainers educational leaders education training bachelor arts english lit language nc state university city state
